user,eer
2,0.24
3,0.14000000000000007
4,0.08000000000000002
5,0.04200000000000004
7,0.11100000000000004
8,0.06449999999999995
10,0.024499999999999966
11,0.07600000000000001
12,0.022499999999999964
13,0.06849999999999995
15,0.10649999999999998
16,0.18
17,0.029000000000000026
18,0.1205
19,0.044499999999999984
20,0.14000000000000007
21,0.11549999999999999
22,0.019000000000000017
24,0.04849999999999999
25,0.07549999999999996
26,0.044499999999999984
27,0.06500000000000006
28,0.0625
29,0.07100000000000001
30,0.08200000000000002
31,0.27549999999999997
32,0.276
33,0.10900000000000004
34,0.14450000000000002
35,0.1955
36,0.01100000000000001
37,0.10900000000000004
38,0.09100000000000003
39,0.07050000000000001
40,0.15550000000000003
41,0.09800000000000003
42,0.034499999999999975
43,0.015499999999999958
44,0.07349999999999995
46,0.14450000000000002
47,0.32649999999999996
48,0.06449999999999995
49,0.06449999999999995
50,0.11100000000000004
51,0.10549999999999998
52,0.015499999999999958
53,0.029000000000000026
54,0.069
55,0.011499999999999955
56,0.08000000000000002
57,0.1175
